 33990|Nagasandra Post, Yeshwanthpura Hobli|Karivabanahalli|560073|Opposite Karivabanahalli Bus Stop||Cream Colour Building|||11359|11360|
 33988|Sondekoppa Post, Dasanpura Hobli, Bangalore North 1|Byregowdanahalli Janatha Colony|562130|Near Janatha Colony Bus Stop||Gown Style||377, 374, 245|11280|11281|
 33840|Madavara Post, Dasanpura Hobli, Bangalore North 1|Madanayakanahalli|562123|Behind Basaveshwara Swamy Temple|Infront Madanayakanahalli Bus Stop & Opposite Devanth Plastic|White Colour Sheet Building||257 D, 255, 258, 257|11336|11337|
 33839|Laxmipura Post, Dasanpura Hobli|Laxmipura|562123|Behind Laxmipura Bus Stop||White Colour Building|G.K.H.P.S Laxmipura In Side|263 C, 263 K, 240 F|11327|11328|
 33836|Nagasandra Post, Yeshwanthpura Hobli|Nelagadaranahalli|560073|Behind Nelagadaranahalli Bus Stop|Behind Ashwath Katte|G.K.M.P.S Nelagadaranahalli In Side|Blue Colour Door|263 A|11355|11356|
 31380|Sondekoppa Post, Dasanpura Hobli, Bangalore North 1|Baleveeranahalli|562130|Opposite Ashwath Katte|Opposite Basavanna Temple|Cream Colour Building||245 L|11302|11303|
 31284|Laxmipura Post, Dasanpura Hobli|Dombarahalli|562123|Behind Dombarahalli Bus Stop||Cream Colour Building||263 F, 240 F, 263 K|11349|11350|
 31341|Laxmipura Post, Dasanpura Hobli|Kadirenahalli|562123|Behind Kadirenahalli Bus Stop|Next Brown Colour Water Tank|Cream Colour Building||263 C|11323|11324|
 31350|Madavara Post, Dasanpura Hobli, Bangalore North 1|Bheemeshwara Nagar|562123|Near Madanayakanahalli Bus Stop|Behind Brown Colour Water Tank|Cream Colour Building||263 F, 240 F, 263 K|11342|11343|
 31229|Nelamangala Main Road, Madavara Post, Dasanpura Hobli, Bangalore North 1|Hanumanthegowdana Palya|562123|Near H.G Halli Bus Stop (Nelamangala Road)|Behind Dodla Milk Dairy & Ashwath Katte|Pista Colour Building||258, 255|11332|11333|
 31261|Madavara Post, Dasanpura Hobli, Bangalore North 1|Janatha Colony|562123|Near Madanayakanahalli Police Station|Near Madanayakanahalli Bus Stop|Cream Colour Building||257 D, 255, 258, 257|11340|11341|
 31208|Laxmipura Post, Dasanpura Hobli|Kammasandra|562123|Behind Kammasandra Bus Stop|Behind Narasimha Swamy Temple|Cream Colour Building||263 K|11321|11322|
 31209|Madavara Post, Dasanpura Hobli, Bangalore North 1|Sidana Hosa Halli|562123|Near Madanayakanahalli Bus Stop|Near Banyan Tree|Green Colour Building|Green Colour Compound|263 F, 240 F, 263 K|11344|11345|
 31216|Laxmipura Post, Dasanpura Hobli|Narasimharajapura|562123|Near Narasimharajapura Cross Bus Stop|Opposite Ashwath Katte|Cream Colour Building||263 K|11318|11319|
 31030|Sondekoppa Post, Dasanpura Hobli, Bangalore North 1|Sondekoppa|562130|Near Sondekoppa Bus Stop|Akshaya Bakery & Sweets Back Side|||377, 374, 245|11308|11309|
 31031|Sondekoppa Post, Dasanpura Hobli, Bangalore North 1|Nagasandra|562130|Near Kerekodi Bus Stop|Behind Ashwath Katte|White Colour Building|G.K.L.P.S Nagasandra In Side||11310|11311|
 31045|Sondekoppa Post, Dasanpura Hobli, Bangalore North 1|Lakkenahalli Colony|562130|Near Lakkenahalli Colony Bus Stop|Opposite Blue Colour Water Tank|Cream Colour & Sheet Building||377, 374, 245|11287|11288|
